client_id;montant_moyen;derniere_transaction;nb_transactions_mois;derniere_transaction_jour;cluster_name;cluster
5158451;6000;2025-07-27;2;37;À réactiver (petit montant, anciens);15
5158495;91500;2025-08-04;2;29;Élevé montant / faible activité / intermédiaire;16
5158549;10690;2025-08-11;17;22;Petits mais actifs (faible montant, très actifs);12
5158594;22508;2025-07-26;3;38;À réactiver (petit montant, anciens);15
5158613;16000;2025-08-17;1;16;Faible montant / faible activité / récent;1
5158625;92731;2025-07-17;8;47;Élevé montant / moyen activité / ancien;18
5158640;18823;2025-07-24;11;40;Petits mais actifs (faible montant, très actifs);12
5158653;13333;2025-08-07;3;26;Faible montant / faible activité / intermédiaire;0
5158744;25050;2025-08-18;5;15;Moyen montant / moyen activité / récent;10
5158778;2576;2025-07-20;9;44;À réactiver (petit montant, anciens);15
5158808;13045;2025-08-17;64;16;Petits mais actifs (faible montant, très actifs);12
5158840;98592;2025-08-01;6;32;Élevé montant / moyen activité / intermédiaire;19
5158903;22289;2025-08-15;39;18;Petits mais actifs (faible montant, très actifs);12
5158921;36967;2025-08-06;6;27;Moyen montant / moyen activité / intermédiaire;9
5158954;10169;2025-08-18;96;15;Petits mais actifs (faible montant, très actifs);12
5158997;109138;2025-08-13;4;20;Élevé montant / moyen activité / récent;20
5159067;10534;2025-07-24;21;40;Petits mais actifs (faible montant, très actifs);12
5159076;191000;2025-07-23;1;41;Premium dormants (haut montant, peu actifs, anciens);13
5159089;1000;2025-07-07;1;57;À réactiver (petit montant, anciens);15
5159115;55722;2025-08-14;9;19;Moyen montant / moyen activité / récent;10
5159143;21667;2025-07-07;3;57;À réactiver (petit montant, anciens);15
5159161;54225;2025-08-06;2;27;Moyen montant / faible activité / intermédiaire;6
5159175;46755;2025-08-06;4;27;Moyen montant / moyen activité / intermédiaire;9
5159197;45755;2025-07-30;5;34;Moyen montant / moyen activité / ancien;8
5159234;1000;2025-08-06;2;27;Faible montant / faible activité / intermédiaire;0
5159272;2000;2025-08-11;1;22;Faible montant / faible activité / récent;1
5159280;21062;2025-08-11;2;22;Faible montant / faible activité / récent;1
5159283;34496;2025-07-25;13;39;Moyen montant / élevé activité / ancien;11
