societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
8113,170000.0,1,2025-07-31,29
8165,8750.0,2,2025-07-30,30
8174,99057.14285714286,7,2025-08-01,28
8277,85768.33333333333,6,2025-07-30,30
8280,84140.1,10,2025-07-29,31
8309,50250.0,2,2025-07-29,31
8312,2200.0,1,2025-08-04,25
8323,52517.54385964912,57,2025-08-14,15
8443,55000.0,1,2025-07-16,44
8478,42583.333333333336,3,2025-07-25,35
8520,16615.0,2,2025-08-17,12
8584,109948.57142857143,7,2025-08-18,11
8613,24883.333333333332,45,2025-08-18,11
8821,35000.0,2,2025-07-25,35
8838,70701.42857142857,7,2025-08-05,24
8887,22500.0,2,2025-08-11,18
8892,40777.10526315789,38,2025-08-16,13
8922,82500.0,2,2025-07-26,34
8926,79500.0,2,2025-06-27,63
8939,95115.0,6,2025-07-28,32
8982,27355.0,13,2025-08-08,21
9001,82500.0,4,2025-08-12,17
9007,185516.66666666666,3,2025-07-29,31
9061,12125.0,8,2025-08-09,20
9072,64000.0,2,2025-07-25,35
9085,125583.33333333333,6,2025-08-12,17
9103,20000.0,1,2025-07-16,44
9217,37272.72727272727,11,2025-08-10,19
9221,75250.0,2,2025-07-21,39
9273,160000.0,4,2025-07-28,32
9301,11260.172413793103,29,2025-08-17,12
9346,113252.66666666667,15,2025-07-12,48
9385,151666.66666666666,3,2025-07-21,39
11158,94333.33333333333,6,2025-08-17,12
11159,18200.0,4,2025-08-08,21
11207,3000.0,1,2025-07-02,58
11223,80447.5,4,2025-07-29,31
11282,19333.333333333332,3,2025-08-08,21
11288,139165.0,4,2025-07-28,32
11297,46750.0,7,2025-08-16,13
11371,192205.0,4,2025-07-31,29
11423,5891.25,4,2025-08-13,16
11426,116160.0,4,2025-07-29,31
11430,27725.0,4,2025-08-07,22
11474,5786.595959595959,99,2025-08-17,12
11487,22555.106382978724,47,2025-08-18,11
11535,10897.272727272728,11,2025-08-12,17
11575,107222.22222222222,9,2025-08-14,15
11587,44500.0,4,2025-08-01,28
11606,46000.0,3,2025-08-13,16
11642,35683.709677419356,31,2025-08-17,12
11658,73600.0,5,2025-08-07,22
11684,10465.0,4,2025-08-14,15
11711,12385.666666666666,15,2025-08-18,11
11713,1900.0,3,2025-06-23,67
11725,113400.0,3,2025-08-05,24
11733,100000.0,1,2025-06-26,64
11749,15655.0,3,2025-06-25,65
11760,49367.77777777778,9,2025-07-29,31
11803,20400.0,3,2025-07-17,43
11904,125000.0,1,2025-07-04,56
11958,125000.0,4,2025-08-18,11
11993,106175.0,4,2025-08-06,23
12000,114066.66666666667,3,2025-08-08,21
12057,27648.75,12,2025-08-16,13
12067,149358.75,4,2025-07-28,32
12070,77126.25,4,2025-08-01,28
12074,53849.47368421053,19,2025-08-08,21
12111,136000.0,5,2025-07-05,55
12119,25200.0,2,2025-06-30,60
12128,125000.0,1,2025-07-29,31
12129,23445.342465753423,73,2025-08-18,11
12142,200000.0,1,2025-07-29,31
12223,105000.0,1,2025-08-05,24
12239,19541.666666666668,12,2025-08-12,17
12313,32500.0,2,2025-08-05,24
12325,102000.0,5,2025-07-28,32
12326,90714.28571428571,7,2025-07-30,30
12327,78200.0,5,2025-07-30,30
12340,18050.0,20,2025-08-18,11
12405,74233.33333333333,3,2025-07-30,30
12438,52000.0,4,2025-07-01,59
12444,180800.0,2,2025-08-18,11
12446,129790.0,4,2025-07-28,32
12465,35300.0,5,2025-07-16,44
12543,95750.0,4,2025-07-07,53
12556,33596.818181818184,22,2025-08-10,19
12682,85730.0,8,2025-08-07,22
12714,177020.0,5,2025-08-16,13
12748,66223.07692307692,13,2025-08-11,18
12782,53760.0,4,2025-07-30,30
12784,60602.22222222222,9,2025-07-30,30
12802,87230.76923076923,26,2025-07-29,31
12804,200000.0,1,2025-07-28,32
12827,36594.0,19,2025-08-14,15
12851,10000.0,1,2025-06-26,64
13024,76666.66666666667,3,2025-08-14,15
13034,40000.0,2,2025-08-05,24
13039,25246.875,16,2025-07-24,36
13040,83500.0,2,2025-08-02,27
13049,160000.0,2,2025-07-25,35
13054,64666.666666666664,3,2025-07-28,32
13082,85850.0,1,2025-08-08,21
13172,114477.77777777778,18,2025-08-05,24
13226,136560.0,5,2025-08-04,25
13248,145583.33333333334,12,2025-08-17,12
13253,60266.666666666664,3,2025-08-10,19
13262,77328.75,8,2025-08-05,24
13305,85854.61538461539,13,2025-08-14,15
13330,19615.384615384617,13,2025-08-08,21
13406,75250.0,2,2025-07-28,32
13410,180900.0,2,2025-07-28,32
13535,127500.0,4,2025-07-26,34
13799,10628.28947368421,38,2025-08-11,18
14301,37875.0,12,2025-08-12,17
14370,42985.71428571428,7,2025-08-18,11
14384,56000.0,1,2025-08-05,24
14421,18466.666666666668,3,2025-08-05,24
14424,54000.0,1,2025-08-14,15
14444,39683.333333333336,3,2025-07-26,34
14506,83333.33333333333,3,2025-08-12,17
14622,500.0,1,2025-08-06,23
14744,13210.581395348838,86,2025-08-17,12
14750,97066.0,5,2025-08-09,20
14780,64666.666666666664,3,2025-08-05,24
14836,15794.594594594595,37,2025-08-17,12
14950,75000.0,1,2025-06-24,66
14974,23403.75,8,2025-08-16,13
14980,63592.72727272727,11,2025-07-28,32
15046,24464.285714285714,7,2025-08-18,11
15154,55300.0,19,2025-08-18,11
15160,10000.0,1,2025-07-03,57
15179,48600.0,10,2025-07-30,30
15262,150067.5,4,2025-07-25,35
15392,23238.095238095237,21,2025-08-08,21
15484,14653.40909090909,44,2025-08-18,11
15624,29792.85714285714,14,2025-07-29,31
15781,10794.285714285714,14,2025-08-18,11
15803,8296.388888888889,18,2025-08-13,16
15895,20166.6935483871,62,2025-08-12,17
15945,41371.0,20,2025-08-18,11
15949,126000.0,2,2025-08-05,24
15998,8675.833333333334,42,2025-07-22,38
16026,85025.0,16,2025-08-04,25
16069,16446.666666666668,3,2025-07-25,35
16288,61495.71428571428,28,2025-08-18,11
16405,13220.980392156862,204,2025-08-18,11
16653,110000.0,2,2025-07-28,32
16800,37291.666666666664,12,2025-08-16,13
16858,41248.260869565216,23,2025-08-17,12
16963,121200.0,2,2025-06-19,71
17048,88999.7,50,2025-08-18,11
17068,80687.5,8,2025-08-12,17
17190,57577.142857142855,21,2025-08-15,14
17216,97400.0,5,2025-08-16,13
17232,14000.0,3,2025-07-28,32
17295,8837.608695652174,23,2025-08-13,16
17301,8750.0,8,2025-08-10,19
17310,71010.0,2,2025-08-13,16
17393,109876.875,8,2025-08-15,14
17404,68127.27272727272,22,2025-08-18,11
17408,115750.41666666667,24,2025-08-03,26
17448,44000.0,8,2025-08-16,13
17493,73252.5,4,2025-08-08,21
17656,124536.66666666667,6,2025-08-09,20
17807,42743.333333333336,3,2025-07-14,46
17837,57656.666666666664,6,2025-07-12,48
17842,86231.25,4,2025-07-28,32
17864,22255.084745762713,59,2025-08-16,13
17887,22022.85714285714,21,2025-08-02,27
17895,80000.0,1,2025-07-01,59
17909,85987.5,16,2025-08-09,20
18125,50333.333333333336,3,2025-07-29,31
18127,25000.0,2,2025-07-15,45
18183,121442.17391304347,23,2025-08-11,18
18257,19979.270833333332,48,2025-08-18,11
18321,1000.0,1,2025-06-21,69
18342,13222.2,45,2025-08-18,11
18383,18999.444444444445,9,2025-08-16,13
18461,59225.0,1,2025-07-07,53
18490,65673.33333333333,3,2025-08-05,24
18508,46750.0,4,2025-08-11,18
18548,81666.66666666667,6,2025-08-05,24
18593,66545.0,8,2025-08-01,28
18621,18055.0,25,2025-08-09,20
18679,144945.0,6,2025-08-14,15
18690,8415.0,7,2025-07-21,39
18797,71054.16666666667,48,2025-08-18,11
18808,200800.0,5,2025-08-11,18
18821,55833.333333333336,6,2025-07-31,29
18849,91910.0,5,2025-08-15,14
18939,66666.66666666667,3,2025-08-11,18
18941,114000.0,2,2025-07-28,32
18976,36297.11538461538,26,2025-08-15,14
18993,195000.0,1,2025-08-14,15
19013,30000.0,1,2025-06-20,70
19021,8017.142857142857,7,2025-08-12,17
19120,56200.0,4,2025-07-29,31
19133,2772.5,4,2025-07-04,56
19143,41136.25,4,2025-08-18,11
19162,21139.8,25,2025-08-16,13
19214,150666.66666666666,3,2025-08-13,16
19271,64443.75,8,2025-08-08,21
19292,15000.0,1,2025-06-22,68
19295,63293.333333333336,3,2025-06-27,63
19306,8945.0,10,2025-06-26,64
19349,135500.0,2,2025-07-29,31
19368,8018.2,25,2025-08-18,11
19387,22262.85714285714,7,2025-08-14,15
19390,33632.27272727273,22,2025-08-17,12
19401,15505.952380952382,84,2025-08-07,22
19408,82481.5,2,2025-07-25,35
19598,30000.0,2,2025-08-07,22
19620,36500.0,1,2025-08-18,11
19621,160000.0,1,2025-07-21,39
19631,39308.333333333336,6,2025-08-16,13
19651,38000.0,1,2025-07-11,49
